Call ID,Time,Lat,Lon,Safe to fly,Heli avail,CancelDelay,Scene time,Hosp lat,Hosp Lon,Hosp time
0,0.698273078,43.60619012,75.11033428,1,1,0,0.376066055,43.1009,75.2327,0.741708631
1,0.790622771,43.0861422,77.47069327,1,1,0,0.494474907,43.1566,77.6088,0.276575544
2,3.445113577,42.78111399,73.75713346,1,1,0,0.223928743,42.6526,73.7562,0.265198405
3,3.742029248,42.52338138,76.45208533,1,1,0,0.23244934,42.444,76.5019,0.494394798
4,6.399294216,43.20461956,75.9367614,1,1,0,0.447067846,43.0481,76.1474,1.189298909
5,6.994837553,42.51211794,73.97717723,1,1,0,0.630673384,42.6526,73.7562,0.994620702
6,7.541674349,42.47203354,76.53493678,1,1,0,0.505962753,42.444,76.5019,0.091433825
7,7.910051922,44.02104179,75.76020271,1,1,0,0.349214289,43.9748,75.9108,0.238022249
8,8.157735171,42.69535005,73.7253759,1,1,0,0.168459567,42.6526,73.7562,0.3603833
9,8.163957701,43.1908207,75.22674771,0,0,0,0,0,0,0
10,8.609779751,42.16186005,76.88640104,1,1,0,0.221373181,42.0898,76.8077,0.496234328
11,8.755555449,42.10222835,76.73396571,1,0,0,0,0,0,0
12,9.257496712,43.19248347,75.96536883,1,1,0.114044326,0,0,0,0
13,9.277082261,42.01334821,76.03184564,1,1,0,0.449899241,42.0987,75.918,0.110749019
14,9.787402932,42.65574441,76.17541373,1,1,0,0.286028824,42.444,76.5019,0.117011397
15,9.863985216,42.3709417,76.16580108,1,0,0,0,0,0,0
16,10.48047248,42.99876643,78.19449437,1,1,0,0.189931562,43.1566,77.6088,0.482810622
17,11.76874177,43.26099271,77.85142303,1,1,0,0.357151218,43.1566,77.6088,0.478864365
18,12.03369771,42.77430766,74.21316592,1,1,0,0.447458136,42.6526,73.7562,0.357168635
19,12.48615175,43.13528103,75.21578525,1,1,0,0.27930923,43.1009,75.2327,0.761845397
20,12.60124886,42.49388403,76.48982951,0,0,0,0,0,0,0
21,12.61153137,42.05736776,75.76494337,1,1,0.03223085,0,0,0,0
22,12.76480024,42.93987884,76.1592556,1,1,0,0.086161032,43.0481,76.1474,0.086341172
23,13.33321264,43.28794767,77.65817148,1,1,0,0.091056253,43.1566,77.6088,0.606717545
24,14.21743049,43.23059035,77.32450204,1,1,0.072960388,0,0,0,0
25,14.357669,42.19192597,75.8431754,1,1,0,0.38251793,42.0987,75.918,0.768359941
26,14.45178074,43.08618894,76.04886873,1,0,0,0,0,0,0
27,14.72146994,42.49952116,73.92705367,0,0,0,0,0,0,0
28,14.73074709,42.25664072,75.94952677,1,1,0,0.177157475,42.0987,75.918,0.197286813
29,15.15199024,42.95441172,78.80763474,0,0,0,0,0,0,0
30,15.15863641,43.96219136,75.88956352,1,0,0,0,0,0,0
31,15.36496017,43.97644786,75.97976085,1,1,0,0.549191188,43.0481,76.1474,0.389119705
32,15.47680666,43.17229399,76.28741191,1,1,0,0.108837417,43.0481,76.1474,0.463260959
33,15.48547513,43.2318829,74.4040831,1,1,0,0.453714738,43.1009,75.2327,0.260830056
34,15.94354219,42.85426542,78.84687022,1,1,0,0.633881561,42.8864,78.8784,0.354173902
35,16.07359994,42.63865332,73.99942634,1,1,0,0.352822784,42.6526,73.7562,0.434890875
36,16.17020531,42.50394607,76.43909076,0,0,0,0,0,0,0
37,16.39995429,42.94212975,78.77392931,1,1,0,0.761117043,43.1566,77.6088,0.329632853
38,16.46615123,43.08603672,77.41061825,1,1,0,0.573913344,43.1566,77.6088,0.318753989
39,16.51534944,42.27657956,73.79308901,0,0,0,0,0,0,0
40,16.70156112,43.91888681,75.93598551,1,1,0,0.161876214,43.9748,75.9108,0.678214829
41,16.95511987,42.04708881,76.81910702,1,1,0,0.401198179,42.0898,76.8077,0.31883658
42,17.33306997,43.05086599,78.77329278,0,0,0,0,0,0,0
43,17.35075717,43.3005126,78.73522751,1,1,0,0.395196014,42.8864,78.8784,0.186931814
44,18.66424021,43.11762239,75.19273052,1,1,0,0.350763514,43.1009,75.2327,0.203558477
45,18.73384828,43.1407251,76.1239253,0,0,0,0,0,0,0
46,19.53540479,43.23663644,77.69980826,1,1,0,0.855692466,43.1566,77.6088,0.166055877
47,20.04069951,42.87689156,73.87863426,1,1,0,0.413509474,42.6526,73.7562,0.283124595
48,20.13621663,43.01064042,77.55180655,1,1,0,0.401688824,43.1566,77.6088,0.614800554
49,20.35850395,42.6657379,73.96741167,1,1,0,0.265755647,42.6526,73.7562,0.36267852
50,22.08811733,42.5973477,73.76390042,1,1,0,0.493559023,42.6526,73.7562,0.485408789
51,25.6225456,42.0727658,76.80305022,1,1,0,0.596484005,42.0898,76.8077,0.160442248
52,27.64709247,43.04296748,75.1716986,1,1,0,0.907278088,43.1009,75.2327,0.614934218
53,29.54051666,42.47632203,76.43900453,1,1,0,0.051837461,42.444,76.5019,0.467132126
54,32.33734635,43.12937363,77.76242821,1,1,0,0.92979891,43.1566,77.6088,0.588605915
55,32.6023324,43.07743474,76.18376067,0,0,0,0,0,0,0
56,32.69762047,42.11542092,76.83060376,1,1,0,0.372376097,41.979,76.5155,0.458917521
57,33.01032767,42.368296,75.88832292,1,1,0,0.48671062,41.979,76.5155,0.480439203
58,33.7434776,43.94211261,75.91356461,1,1,0,0.765436517,43.9748,75.9108,0.232263183
59,34.07181914,43.21919442,76.13545088,1,1,0,0.373791503,43.0481,76.1474,0.183953257
60,34.44048043,42.39931898,76.47860716,1,1,0,0.330585985,42.444,76.5019,0.221308364
61,34.73556558,42.70519153,74.00276025,1,1,0,0.660403696,42.6526,73.7562,0.667724724
62,34.84172035,41.9992832,76.8332655,0,0,0,0,0,0,0
63,35.25395322,43.15214994,77.90106106,1,0,0,0,0,0,0
64,35.55027205,42.5416279,76.53515492,1,1,0,0.140760482,42.444,76.5019,0.341795516
65,35.67835326,43.02635976,76.27112815,1,1,0,0.393626414,43.0481,76.1474,0.402332303
66,35.6816748,43.19866371,77.39855389,1,0,0,0,0,0,0
67,35.75598085,43.14912957,77.74173321,1,1,0,0.545890048,43.1566,77.6088,0.451793092
68,35.76200986,42.77817739,73.91579632,1,1,0,0.437666734,42.6526,73.7562,0.246265146
69,36.16351042,42.79094378,73.80138651,1,1,0,0.443140467,42.6526,73.7562,0.73638424
70,36.16607405,43.04163438,76.21058433,1,1,0,0.380194699,43.0481,76.1474,0.639144942
71,36.35831617,43.16733043,73.77709493,1,1,0,0.389907384,42.6526,73.7562,0.641741488
72,36.46432518,43.99912664,75.78592176,1,1,0,0.558865795,43.9748,75.9108,0.312435899
73,36.57905063,43.92130859,75.84628105,0,0,0,0,0,0,0
74,36.60148965,42.46765548,76.47678485,1,1,0,0.383710542,42.444,76.5019,1.633609886
75,36.87140135,43.22418859,76.2273189,1,1,0,0.223924782,43.0481,76.1474,0.943607187
76,37.1256514,42.94524331,76.5885523,1,0,0,0,0,0,0
77,37.14112281,42.71289324,78.73928899,1,1,0,0.159397872,43.1566,77.6088,0.554821678
78,37.65269511,43.06295269,77.99543765,0,0,0,0,0,0,0
79,37.8105118,42.17216521,76.05458233,1,0,0,0,0,0,0
80,37.94604442,42.28616201,76.01219271,1,1,0,0.047617879,42.0987,75.918,0.542245889
81,38.20360816,42.94201404,78.69533015,1,1,0,0.411980524,42.8864,78.8784,0.198223881
82,38.35409477,42.1961471,76.8995329,1,0,0,0,0,0,0
83,38.35773718,42.05953459,76.74973363,1,1,0,0.745896999,42.0898,76.8077,0.092334879
84,38.43056486,42.79366027,76.17100547,1,1,0,0.402616492,43.0481,76.1474,0.221112709
85,38.47992592,43.24420562,75.87685208,1,1,0,0.687102033,43.0481,76.1474,0.448615846
86,38.50919995,42.56384973,74.0259286,1,1,0.477003175,0,0,0,0
87,38.61696171,42.36467819,73.78508189,1,0,0,0,0,0,0
88,39.17039717,42.43594474,76.46991733,1,1,0,0.282150276,41.979,76.5155,0.413032465
89,39.18407258,42.12376572,77.29468278,1,1,0,0.221206104,42.0898,76.8077,0.336558104
90,39.21709062,42.93006848,78.81624542,1,1,0,0.322103326,42.8864,78.8784,0.40974964
91,39.25410159,43.05255813,78.85963272,1,1,0,0.259434609,42.8864,78.8784,0.715304301
92,39.5213404,42.44535421,76.5359179,1,1,0,0.534030999,42.444,76.5019,0.411249527
93,39.70724683,42.20393117,75.97358718,1,1,0,0.111199222,42.0987,75.918,0.466067936
94,39.74927659,42.07201658,76.80674071,1,1,0,0.331930775,42.0898,76.8077,0.336020941
95,39.78280547,42.76527533,74.07109902,1,1,0,0.272925633,42.6526,73.7562,0.586940145
96,39.81281516,42.87910486,78.68308939,1,1,0,0.329984158,42.8864,78.8784,0.7270696
97,40.18937554,43.2585144,77.3551556,1,1,0,0.316874196,43.1566,77.6088,0.456410155
98,40.60790739,43.16047594,75.32313629,1,1,0.392791489,0,0,0,0
99,40.72712425,42.09117416,75.63673228,1,1,0.407377805,0,0,0,0
100,40.82705422,42.13307943,75.82565574,1,1,0,0.398978736,41.979,76.5155,0.749460614
101,41.06522026,42.4988236,76.54338578,1,1,0,0.072084598,42.444,76.5019,0.540520086
102,41.14243685,43.1598583,77.53580844,1,1,0,0.281248892,43.1566,77.6088,0.398110383
103,42.37064255,43.08513094,78.81962239,1,1,0,1.022362647,43.1566,77.6088,0.561492345
104,42.58744456,42.97708884,78.8111222,1,1,0,0.415815654,43.1566,77.6088,0.273782109
105,42.79615736,42.25025926,75.97605401,1,1,0,0.229842984,42.0987,75.918,0.405784933
106,42.9963671,42.7692354,78.72876239,1,1,0,0.535558757,43.1566,77.6088,0.619134553
107,43.13981649,42.72627944,73.71569405,1,1,0,0.411640787,42.6526,73.7562,0.244566541
108,43.84872794,43.03760984,78.86070855,1,1,0,0.370896975,42.8864,78.8784,0.244457373
109,44.37270568,42.45054378,75.87997027,1,1,0,0.225933236,42.0987,75.918,1.043497776
110,51.33968271,42.2041408,75.77135269,1,1,0,0.156814635,42.0987,75.918,0.360502296
111,52.69148627,42.89694561,78.71441601,1,0,0,0,0,0,0
112,52.71687039,43.06420262,76.37804156,0,0,0,0,0,0,0
113,55.70381819,42.54157763,78.59730035,1,1,0,0.382508946,42.8864,78.8784,0.469283222
114,56.03357418,42.89737658,78.6940325,1,1,0,0.410543982,42.8864,78.8784,0.273053775
115,57.71551795,42.78287594,76.00703642,1,1,0,0.347768479,43.0481,76.1474,0.492145877
116,58.4591061,43.15404066,75.12271719,1,1,0,0.66597844,43.1009,75.2327,0.310287549
117,58.52099583,42.11267616,76.32435808,1,0,0,0,0,0,0
118,58.72621381,42.36985282,74.29151047,1,1,0,0.571578286,42.6526,73.7562,0.83084823
119,59.01774328,43.19167759,77.51915773,1,1,0,0.438952817,43.1566,77.6088,0.110293419
120,59.68670089,43.02133917,76.03009808,0,0,0,0,0,0,0
121,59.7485997,43.0285235,77.64487445,1,1,0,0.232005152,43.1566,77.6088,0.681221932
122,60.11054002,42.26588472,75.88854292,1,0,0,0,0,0,0
123,60.17323985,42.8493493,74.11185272,1,1,0,0.299549838,42.6526,73.7562,0.783447792
124,60.49769109,42.72111964,73.94214687,1,1,0,0.426549659,42.6526,73.7562,0.817713803
125,60.5417986,42.12591113,76.02507889,1,1,0,0.325858175,41.979,76.5155,0.417180442
126,60.88393583,42.97384452,77.43572619,0,0,0,0,0,0,0
127,61.36986133,42.77812387,78.87811667,1,1,0.148458891,0,0,0,0
128,61.46208222,42.76463658,76.6911055,1,1,0,0.169433683,42.444,76.5019,0.164188988
129,61.56317881,42.73140762,76.14429345,1,1,0,0.344918416,43.0481,76.1474,0.248718237
130,62.00280955,42.47859729,76.48896647,0,0,0,0,0,0,0
131,62.28060303,42.81104983,76.15832465,1,1,0,0.270657705,43.0481,76.1474,0.120740908
132,62.75344682,42.12022392,76.76352761,1,1,0,0.161846821,41.979,76.5155,0.369266403
133,62.75514041,42.92158608,76.21189203,1,1,0,0.388205247,43.0481,76.1474,0.626266304
134,62.9087159,42.9330094,78.88891249,1,0,0,0,0,0,0
135,62.96141135,43.06221709,75.17980742,1,0,0,0,0,0,0
136,63.09934131,43.30404362,76.27162618,1,0,0,0,0,0,0
137,63.13487611,43.18560534,76.24188167,0,0,0,0,0,0,0
138,63.46748392,42.72595931,78.8703722,1,1,0,0.102154275,42.8864,78.8784,0.3727834
139,63.9957492,44.11112002,75.11296943,1,1,0,0.225876037,43.9748,75.9108,0.32931806
140,64.13752167,43.14043923,75.17766343,1,1,0,0.253801342,43.1009,75.2327,1.156509318
141,64.75130835,42.023225,75.9144168,0,0,0,0,0,0,0
142,64.79727657,42.02914804,75.75764255,1,1,0,0.338123509,42.0987,75.918,1.355724545
143,65.38696763,42.90098288,78.75575563,1,1,0,0.473636459,42.8864,78.8784,0.619766675
144,65.56953598,43.22694867,77.15528292,1,1,0,0.551818763,43.1566,77.6088,0.539414146
145,65.59092595,43.16591823,77.66802832,1,1,0,0.224373403,43.1566,77.6088,0.450376223
146,65.79363811,43.00659506,77.5916714,1,1,0,0.636204358,43.1566,77.6088,0.420000919
147,65.86999075,44.01873189,75.93346521,1,1,0,0.094544919,43.9748,75.9108,1.080040758
148,65.87374008,42.90722817,78.81001254,1,1,0,0.129517177,42.8864,78.8784,0.871794261
149,66.30357652,42.72368185,78.88171247,1,1,0,0.528955623,43.1566,77.6088,0.98470887
150,66.55469761,43.06140612,76.18032075,1,1,0,0.204572759,43.0481,76.1474,0.211640048
151,66.71169935,42.77042063,74.07571523,1,1,0,0.260718552,42.6526,73.7562,0.569710957
152,66.83502503,42.79382267,73.87085107,1,1,0,0.678970876,42.6526,73.7562,0.251431733
153,67.91066695,42.20927803,75.84315976,1,1,0,0.595794414,42.0987,75.918,0.492212044
154,68.31120356,42.13586622,75.87274128,1,1,0,0.615269374,42.0987,75.918,0.565086298
155,69.42774557,42.10738794,76.77931578,1,0,0,0,0,0,0
156,78.23604272,42.17352272,76.80647101,1,1,0,0.063393281,42.0898,76.8077,0.719434536
157,79.04302865,42.65197044,74.47932016,1,1,0,0.487517531,42.6526,73.7562,0.193240408
158,80.35131718,43.16548641,76.28450181,1,1,0.276897276,0,0,0,0
159,80.80378917,43.19819032,77.62861423,1,1,0,0.366216115,43.1566,77.6088,0.314473851
160,81.5398546,43.10260213,78.84238781,1,1,0.347380691,0,0,0,0
161,81.5823436,43.22554418,75.43300663,1,1,0,0.432158988,43.1009,75.2327,0.989809728
162,81.69402004,42.54807781,76.50761763,1,1,0,0.238516452,42.444,76.5019,0.454046238
163,82.08911666,43.02994497,75.25573257,1,1,0,0.246355228,43.1009,75.2327,0.318528381
164,83.11246094,42.17436207,75.95658518,1,1,0,0.966538088,42.0987,75.918,0.508123082
165,83.80277428,42.94525529,76.26455673,1,1,0,0.136578576,43.0481,76.1474,0.31612408
166,84.09163671,42.12602843,76.75734867,0,0,0,0,0,0,0
167,84.37100674,42.86263455,78.83255567,1,1,0,0.216855193,42.8864,78.8784,0.418764675
168,84.48600519,42.9070182,73.9301987,1,1,0,0.416712123,42.6526,73.7562,0.282969119
169,84.50751059,42.9463468,76.23349564,1,1,0,0.14391872,43.0481,76.1474,0.503237695
170,84.90748901,43.02569731,75.94047345,1,1,0,0.158035231,43.0481,76.1474,0.533373455
171,84.92604805,43.07183475,77.51740229,1,1,0,0.418388972,43.1566,77.6088,0.250841582
172,85.12756349,42.08683482,75.99402934,1,1,0,0.652543463,41.979,76.5155,0.656442801
173,85.37089829,43.12839098,77.47109159,1,1,0,0.402737019,43.1566,77.6088,0.517012843
174,85.41485965,42.15866029,75.34851695,1,1,0,0.199115933,42.0987,75.918,0.617477653
175,86.20109323,42.09928455,76.76456373,1,1,0,0.136596943,42.0898,76.8077,0.398928529
176,86.55331354,43.02856586,78.58451242,1,1,0,0.473511651,42.8864,78.8784,0.209499085
177,87.20007846,42.14999451,77.51974321,1,1,0,0.270205925,42.0898,76.8077,0.699830249
178,87.2677624,42.42686624,76.49568746,1,0,0,0,0,0,0
179,87.2738185,42.24789258,75.78220505,1,1,0,0.258998832,42.0987,75.918,0.132756906
180,87.4312622,43.06702448,76.12905781,0,0,0,0,0,0,0
181,87.48253797,43.02160868,76.10632189,1,1,0,0.279682244,43.0481,76.1474,0.227398444
182,87.98811444,42.82717383,76.27799804,1,1,0,0.450429421,43.0481,76.1474,0.621899519
183,88.0858118,42.42857286,73.8812632,1,0,0,0,0,0,0
184,88.12269417,42.43630081,76.45868565,1,1,0,0.279666767,41.979,76.5155,0.557729897
185,88.30386671,42.89419956,78.8637767,1,0,0,0,0,0,0
186,88.46214879,42.06564145,76.01617269,1,1,0,0.3422626,41.979,76.5155,0.735197802
187,88.69174994,42.45021702,73.80796566,1,1,0,0.436762705,42.6526,73.7562,0.264666567
188,89.18920178,42.4655369,76.51351998,1,1,0,0.122542956,42.444,76.5019,0.620529626
189,89.25425584,42.68481257,73.88104801,1,1,0.209462807,0,0,0,0
190,89.47043775,44.03561218,75.85454154,1,1,0,0.170327969,43.9748,75.9108,0.0392536
